,Type,variable_1,Description,path,variable_2
34,BOX,Drivetrain,"In Drivetrains comparison wrt Seating_Capacity,4WD has the highest mean whereas, AWD (All Wheel Drive) has the lowest mean, max and min InterQuartile Range (IQR) is shown by RWD (Rear Wheel Drive) and FWD (Front Wheel Drive) respectively.",./static/img/BOX/Drivetrain_Seating_Capacity.png,Seating_Capacity
35,BOX,Drivetrain,"In Drivetrains comparison wrt Wheelbase,AWD (All Wheel Drive) has the highest mean whereas, FWD (Front Wheel Drive) has the lowest mean, max and min InterQuartile Range (IQR) is shown by Not Specified and FWD (Front Wheel Drive) respectively.",./static/img/BOX/Drivetrain_Wheelbase.png,Wheelbase
36,BOX,Drivetrain,"In Drivetrains comparison wrt Minimum_Turning_Radius(meter),FWD (Front Wheel Drive) has the highest mean whereas, RWD (Rear Wheel Drive) has the lowest mean, max and min InterQuartile Range (IQR) is shown by FWD (Front Wheel Drive) and Not Specified respectively.",./static/img/BOX/Drivetrain_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
37,BOX,Drivetrain,"In Drivetrains comparison wrt Number_of_Airbags,AWD (All Wheel Drive) has the highest mean whereas, FWD (Front Wheel Drive) has the lowest mean, max and min InterQuartile Range (IQR) is shown by RWD (Rear Wheel Drive) and Not Specified respectively.",./static/img/BOX/Drivetrain_Number_of_Airbags.png,Number_of_Airbags
38,BOX,Emission_Norm,"In Emission_Norms comparison wrt Ex-Showroom_Price(Rs),Not Specified has the highest mean whereas, BS III has the lowest mean, max and min InterQuartile Range (IQR) is shown by Not Specified and BS III respectively.",./static/img/BOX/Emission_Norm_Ex-Showroom_Price(Rs).png,Ex-Showroom_Price(Rs)
39,BOX,Emission_Norm,"In Emission_Norms comparison wrt Cylinders,Not Specified has the highest mean whereas, BS III has the lowest mean, max and min InterQuartile Range (IQR) is shown by Not Specified and BS III respectively.",./static/img/BOX/Emission_Norm_Cylinders.png,Cylinders
40,BOX,Emission_Norm,"In Emission_Norms comparison wrt Height(mm),BS III has the highest mean whereas, Not Specified has the lowest mean, max and min InterQuartile Range (IQR) is shown by Not Specified and BS III respectively.",./static/img/BOX/Emission_Norm_Height(mm).png,Height(mm)
41,BOX,Emission_Norm,"In Emission_Norms comparison wrt Length(mm),Not Specified has the highest mean whereas, BS 6 has the lowest mean, max and min InterQuartile Range (IQR) is shown by BS VI and BS III respectively.",./static/img/BOX/Emission_Norm_Length(mm).png,Length(mm)
42,BOX,Emission_Norm,"In Emission_Norms comparison wrt Width(mm),Not Specified has the highest mean whereas, BS III has the lowest mean, max and min InterQuartile Range (IQR) is shown by Not Specified and BS VI respectively.",./static/img/BOX/Emission_Norm_Width(mm).png,Width(mm)
43,BOX,Emission_Norm,"In Emission_Norms comparison wrt City_Mileage(km_per_litre),Not Specified has the highest mean whereas, BS III has the lowest mean, max and min InterQuartile Range (IQR) is shown by BS VI and BS 6 respectively.",./static/img/BOX/Emission_Norm_City_Mileage(km_per_litre).png,City_Mileage(km_per_litre)
44,BOX,Emission_Norm,"In Emission_Norms comparison wrt Ground_Clearance(mm),BS 6 has the highest mean whereas, BS VI has the lowest mean, max and min InterQuartile Range (IQR) is shown by BS III and BS VI respectively.",./static/img/BOX/Emission_Norm_Ground_Clearance(mm).png,Ground_Clearance(mm)
45,BOX,Emission_Norm,"In Emission_Norms comparison wrt Seating_Capacity,BS III has the highest mean whereas, Not Specified has the lowest mean, max and min InterQuartile Range (IQR) is shown by BS VI and BS 6 respectively.",./static/img/BOX/Emission_Norm_Seating_Capacity.png,Seating_Capacity
46,BOX,Emission_Norm,"In Emission_Norms comparison wrt Wheelbase,Not Specified has the highest mean whereas, BS III has the lowest mean, max and min InterQuartile Range (IQR) is shown by BS IV and BS III respectively.",./static/img/BOX/Emission_Norm_Wheelbase.png,Wheelbase
47,BOX,Emission_Norm,"In Emission_Norms comparison wrt Minimum_Turning_Radius(meter),BS 6 has the highest mean whereas, BS III has the lowest mean, max and min InterQuartile Range (IQR) is shown by BS 6 and BS III respectively.",./static/img/BOX/Emission_Norm_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
48,BOX,Emission_Norm,"In Emission_Norms comparison wrt Number_of_Airbags,Not Specified has the highest mean whereas, BS 6 has the lowest mean, max and min InterQuartile Range (IQR) is shown by BS VI and BS III respectively.",./static/img/BOX/Emission_Norm_Number_of_Airbags.png,Number_of_Airbags
49,BOX,Fuel_Type,"In Fuel_Types comparison wrt Ex-Showroom_Price(Rs),Hybrid has the highest mean whereas, CNG has the lowest mean, max and min InterQuartile Range (IQR) is shown by Hybrid and CNG respectively.",./static/img/BOX/Fuel_Type_Ex-Showroom_Price(Rs).png,Ex-Showroom_Price(Rs)
50,BOX,Fuel_Type,"In Fuel_Types comparison wrt Cylinders,Hybrid has the highest mean whereas, CNG has the lowest mean, max and min InterQuartile Range (IQR) is shown by Hybrid and Diesel respectively.",./static/img/BOX/Fuel_Type_Cylinders.png,Cylinders
51,BOX,Fuel_Type,"In Fuel_Types comparison wrt Height(mm),Diesel has the highest mean whereas, CNG + Petrol has the lowest mean, max and min InterQuartile Range (IQR) is shown by Hybrid and CNG + Petrol respectively.",./static/img/BOX/Fuel_Type_Height(mm).png,Height(mm)
52,BOX,Fuel_Type,"In Fuel_Types comparison wrt Length(mm),Hybrid has the highest mean whereas, CNG has the lowest mean, max and min InterQuartile Range (IQR) is shown by Petrol and CNG respectively.",./static/img/BOX/Fuel_Type_Length(mm).png,Length(mm)
53,BOX,Fuel_Type,"In Fuel_Types comparison wrt Width(mm),Hybrid has the highest mean whereas, CNG has the lowest mean, max and min InterQuartile Range (IQR) is shown by Petrol and CNG respectively.",./static/img/BOX/Fuel_Type_Width(mm).png,Width(mm)
54,BOX,Fuel_Type,"In Fuel_Types comparison wrt City_Mileage(km_per_litre),Diesel has the highest mean whereas, Petrol has the lowest mean, max and min InterQuartile Range (IQR) is shown by Petrol and CNG respectively.",./static/img/BOX/Fuel_Type_City_Mileage(km_per_litre).png,City_Mileage(km_per_litre)
55,BOX,Fuel_Type,"In Fuel_Types comparison wrt Ground_Clearance(mm),Hybrid has the highest mean whereas, CNG + Petrol has the lowest mean, max and min InterQuartile Range (IQR) is shown by Diesel and Hybrid respectively.",./static/img/BOX/Fuel_Type_Ground_Clearance(mm).png,Ground_Clearance(mm)
56,BOX,Fuel_Type,"In Fuel_Types comparison wrt Seating_Capacity,Diesel has the highest mean whereas, Electric has the lowest mean, max and min InterQuartile Range (IQR) is shown by Diesel and CNG respectively.",./static/img/BOX/Fuel_Type_Seating_Capacity.png,Seating_Capacity
57,BOX,Fuel_Type,"In Fuel_Types comparison wrt Wheelbase,Hybrid has the highest mean whereas, CNG has the lowest mean, max and min InterQuartile Range (IQR) is shown by Hybrid and CNG + Petrol respectively.",./static/img/BOX/Fuel_Type_Wheelbase.png,Wheelbase
58,BOX,Fuel_Type,"In Fuel_Types comparison wrt Minimum_Turning_Radius(meter),Diesel has the highest mean whereas, CNG has the lowest mean, max and min InterQuartile Range (IQR) is shown by CNG and Hybrid respectively.",./static/img/BOX/Fuel_Type_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
59,BOX,Fuel_Type,"In Fuel_Types comparison wrt Number_of_Airbags,Hybrid has the highest mean whereas, CNG has the lowest mean, max and min InterQuartile Range (IQR) is shown by Diesel and CNG + Petrol respectively.",./static/img/BOX/Fuel_Type_Number_of_Airbags.png,Number_of_Airbags
60,BOX,Body_Type,"In Body_Types comparison wrt Ex-Showroom_Price(Rs),Sports has the highest mean whereas, Hatchback has the lowest mean, max and min InterQuartile Range (IQR) is shown by Sports and Coupe, Convertible respectively.",./static/img/BOX/Body_Type_Ex-Showroom_Price(Rs).png,Ex-Showroom_Price(Rs)
61,BOX,Body_Type,"In Body_Types comparison wrt Cylinders,Sports has the highest mean whereas, Hatchback has the lowest mean, max and min InterQuartile Range (IQR) is shown by Sports and Coupe, Convertible respectively.",./static/img/BOX/Body_Type_Cylinders.png,Cylinders
62,BOX,Body_Type,"In Body_Types comparison wrt Height(mm),Pick-up has the highest mean whereas, Coupe, Convertible has the lowest mean, max and min InterQuartile Range (IQR) is shown by MPV and Coupe, Convertible respectively.",./static/img/BOX/Body_Type_Height(mm).png,Height(mm)
63,BOX,Body_Type,"In Body_Types comparison wrt Length(mm),Pick-up has the highest mean whereas, Hatchback has the lowest mean, max and min InterQuartile Range (IQR) is shown by SUV and Coupe, Convertible respectively.",./static/img/BOX/Body_Type_Length(mm).png,Length(mm)
64,BOX,Body_Type,"In Body_Types comparison wrt Width(mm),Not Specified has the highest mean whereas, Hatchback has the lowest mean, max and min InterQuartile Range (IQR) is shown by Sports, Convertible and Coupe, Convertible respectively.",./static/img/BOX/Body_Type_Width(mm).png,Width(mm)
65,BOX,Body_Type,"In Body_Types comparison wrt City_Mileage(km_per_litre),Sedan has the highest mean whereas, Coupe, Convertible has the lowest mean, max and min InterQuartile Range (IQR) is shown by Convertible and Coupe, Convertible respectively.",./static/img/BOX/Body_Type_City_Mileage(km_per_litre).png,City_Mileage(km_per_litre)
66,BOX,Body_Type,"In Body_Types comparison wrt Ground_Clearance(mm),Sedan, Crossover has the highest mean whereas, Sedan, Coupe has the lowest mean, max and min InterQuartile Range (IQR) is shown by Coupe and Coupe, Convertible respectively.",./static/img/BOX/Body_Type_Ground_Clearance(mm).png,Ground_Clearance(mm)
67,BOX,Body_Type,"In Body_Types comparison wrt Seating_Capacity,MUV has the highest mean whereas, Coupe, Convertible has the lowest mean, max and min InterQuartile Range (IQR) is shown by Convertible and Coupe, Convertible respectively.",./static/img/BOX/Body_Type_Seating_Capacity.png,Seating_Capacity
68,BOX,Body_Type,"In Body_Types comparison wrt Wheelbase,Pick-up has the highest mean whereas, Hatchback has the lowest mean, max and min InterQuartile Range (IQR) is shown by MPV and Coupe, Convertible respectively.",./static/img/BOX/Body_Type_Wheelbase.png,Wheelbase
69,BOX,Body_Type,"In Body_Types comparison wrt Minimum_Turning_Radius(meter),MUV has the highest mean whereas, MPV has the lowest mean, max and min InterQuartile Range (IQR) is shown by Hatchback and Coupe, Convertible respectively.",./static/img/BOX/Body_Type_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
70,BOX,Body_Type,"In Body_Types comparison wrt Number_of_Airbags,Sedan, Coupe has the highest mean whereas, Coupe, Convertible has the lowest mean, max and min InterQuartile Range (IQR) is shown by Not Specified and Coupe, Convertible respectively.",./static/img/BOX/Body_Type_Number_of_Airbags.png,Number_of_Airbags
71,BOX,Gears,"In Gearss comparison wrt Ex-Showroom_Price(Rs),7 Dual Clutch has the highest mean whereas, 4 has the lowest mean, max and min InterQuartile Range (IQR) is shown by 7 and 7 Dual Clutch respectively.",./static/img/BOX/Gears_Ex-Showroom_Price(Rs).png,Ex-Showroom_Price(Rs)
72,BOX,Gears,"In Gearss comparison wrt Cylinders,7 Dual Clutch has the highest mean whereas, 4 has the lowest mean, max and min InterQuartile Range (IQR) is shown by 7 and 6 respectively.",./static/img/BOX/Gears_Cylinders.png,Cylinders
73,BOX,Gears,"In Gearss comparison wrt Height(mm),9 has the highest mean whereas, 7 Dual Clutch has the lowest mean, max and min InterQuartile Range (IQR) is shown by 8 and 7 Dual Clutch respectively.",./static/img/BOX/Gears_Height(mm).png,Height(mm)
74,BOX,Gears,"In Gearss comparison wrt Length(mm),8 has the highest mean whereas, 4 has the lowest mean, max and min InterQuartile Range (IQR) is shown by 4 and 7 Dual Clutch respectively.",./static/img/BOX/Gears_Length(mm).png,Length(mm)
75,BOX,Gears,"In Gearss comparison wrt Width(mm),7 Dual Clutch has the highest mean whereas, 4 has the lowest mean, max and min InterQuartile Range (IQR) is shown by 8 and 7 Dual Clutch respectively.",./static/img/BOX/Gears_Width(mm).png,Width(mm)
76,BOX,Gears,"In Gearss comparison wrt City_Mileage(km_per_litre),6 has the highest mean whereas, 7 has the lowest mean, max and min InterQuartile Range (IQR) is shown by 7 and 7 Dual Clutch respectively.",./static/img/BOX/Gears_City_Mileage(km_per_litre).png,City_Mileage(km_per_litre)
77,BOX,Gears,"In Gearss comparison wrt Ground_Clearance(mm),8 has the highest mean whereas, Single Speed Reduction Gear has the lowest mean, max and min InterQuartile Range (IQR) is shown by 8 and 7 Dual Clutch respectively.",./static/img/BOX/Gears_Ground_Clearance(mm).png,Ground_Clearance(mm)
78,BOX,Gears,"In Gearss comparison wrt Seating_Capacity,6 has the highest mean whereas, 7 Dual Clutch has the lowest mean, max and min InterQuartile Range (IQR) is shown by 8 and 5 respectively.",./static/img/BOX/Gears_Seating_Capacity.png,Seating_Capacity
79,BOX,Gears,"In Gearss comparison wrt Wheelbase,8 has the highest mean whereas, 4 has the lowest mean, max and min InterQuartile Range (IQR) is shown by 4 and 7 Dual Clutch respectively.",./static/img/BOX/Gears_Wheelbase.png,Wheelbase
80,BOX,Gears,"In Gearss comparison wrt Minimum_Turning_Radius(meter),5 has the highest mean whereas, 4 has the lowest mean, max and min InterQuartile Range (IQR) is shown by Not Specified and 7 Dual Clutch respectively.",./static/img/BOX/Gears_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
81,BOX,Gears,"In Gearss comparison wrt Number_of_Airbags,9 has the highest mean whereas, 5 has the lowest mean, max and min InterQuartile Range (IQR) is shown by 7 and 5 respectively.",./static/img/BOX/Gears_Number_of_Airbags.png,Number_of_Airbags
82,BOX,Front_Brakes,"In Front_Brakess comparison wrt Ex-Showroom_Price(Rs),Drum has the highest mean whereas, Not Specified has the lowest mean, max and min InterQuartile Range (IQR) is shown by Ventilated Disc and Drum respectively.",./static/img/BOX/Front_Brakes_Ex-Showroom_Price(Rs).png,Ex-Showroom_Price(Rs)
83,BOX,Front_Brakes,"In Front_Brakess comparison wrt Cylinders,Ventilated Disc has the highest mean whereas, Drum has the lowest mean, max and min InterQuartile Range (IQR) is shown by Drum and Not Specified respectively.",./static/img/BOX/Front_Brakes_Cylinders.png,Cylinders
84,BOX,Front_Brakes,"In Front_Brakess comparison wrt Height(mm),Drum has the highest mean whereas, Ventilated Disc has the lowest mean, max and min InterQuartile Range (IQR) is shown by Not Specified and Drum respectively.",./static/img/BOX/Front_Brakes_Height(mm).png,Height(mm)
85,BOX,Front_Brakes,"In Front_Brakess comparison wrt Length(mm),Not Specified has the highest mean whereas, Drum has the lowest mean, max and min InterQuartile Range (IQR) is shown by Ventilated Disc and Drum respectively.",./static/img/BOX/Front_Brakes_Length(mm).png,Length(mm)
86,BOX,Front_Brakes,"In Front_Brakess comparison wrt Width(mm),Not Specified has the highest mean whereas, Solid Disc has the lowest mean, max and min InterQuartile Range (IQR) is shown by Solid Disc and Drum respectively.",./static/img/BOX/Front_Brakes_Width(mm).png,Width(mm)
87,BOX,Front_Brakes,"In Front_Brakess comparison wrt City_Mileage(km_per_litre),Ventilated Disc has the highest mean whereas, Drum has the lowest mean, max and min InterQuartile Range (IQR) is shown by Ventilated Disc and Not Specified respectively.",./static/img/BOX/Front_Brakes_City_Mileage(km_per_litre).png,City_Mileage(km_per_litre)
88,BOX,Front_Brakes,"In Front_Brakess comparison wrt Ground_Clearance(mm),Drum has the highest mean whereas, Ventilated Disc has the lowest mean, max and min InterQuartile Range (IQR) is shown by Not Specified and Drum respectively.",./static/img/BOX/Front_Brakes_Ground_Clearance(mm).png,Ground_Clearance(mm)
89,BOX,Front_Brakes,"In Front_Brakess comparison wrt Seating_Capacity,Ventilated Disc has the highest mean whereas, Drum has the lowest mean, max and min InterQuartile Range (IQR) is shown by Drum and Drum respectively.",./static/img/BOX/Front_Brakes_Seating_Capacity.png,Seating_Capacity
90,BOX,Front_Brakes,"In Front_Brakess comparison wrt Wheelbase,Not Specified has the highest mean whereas, Drum has the lowest mean, max and min InterQuartile Range (IQR) is shown by Solid Disc and Drum respectively.",./static/img/BOX/Front_Brakes_Wheelbase.png,Wheelbase
91,BOX,Front_Brakes,"In Front_Brakess comparison wrt Minimum_Turning_Radius(meter),Solid Disc has the highest mean whereas, Drum has the lowest mean, max and min InterQuartile Range (IQR) is shown by Solid Disc and Drum respectively.",./static/img/BOX/Front_Brakes_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
92,BOX,Front_Brakes,"In Front_Brakess comparison wrt Number_of_Airbags,Drum has the highest mean whereas, Not Specified has the lowest mean, max and min InterQuartile Range (IQR) is shown by Ventilated Disc and Drum respectively.",./static/img/BOX/Front_Brakes_Number_of_Airbags.png,Number_of_Airbags
93,BOX,Rear_Brakes,"In Rear_Brakess comparison wrt Ex-Showroom_Price(Rs),Ventilated Disc has the highest mean whereas, Drum has the lowest mean, max and min InterQuartile Range (IQR) is shown by Ventilated Disc and Drum respectively.",./static/img/BOX/Rear_Brakes_Ex-Showroom_Price(Rs).png,Ex-Showroom_Price(Rs)
94,BOX,Rear_Brakes,"In Rear_Brakess comparison wrt Cylinders,Ventilated Disc has the highest mean whereas, Drum has the lowest mean, max and min InterQuartile Range (IQR) is shown by Ventilated Disc and Not Specified respectively.",./static/img/BOX/Rear_Brakes_Cylinders.png,Cylinders
95,BOX,Rear_Brakes,"In Rear_Brakess comparison wrt Height(mm),Not Specified has the highest mean whereas, Solid Disc has the lowest mean, max and min InterQuartile Range (IQR) is shown by Ventilated Disc and Drum respectively.",./static/img/BOX/Rear_Brakes_Height(mm).png,Height(mm)
96,BOX,Rear_Brakes,"In Rear_Brakess comparison wrt Length(mm),Ventilated Disc has the highest mean whereas, Drum has the lowest mean, max and min InterQuartile Range (IQR) is shown by Drum and Solid Disc respectively.",./static/img/BOX/Rear_Brakes_Length(mm).png,Length(mm)
97,BOX,Rear_Brakes,"In Rear_Brakess comparison wrt Width(mm),Ventilated Disc has the highest mean whereas, Drum has the lowest mean, max and min InterQuartile Range (IQR) is shown by Ventilated Disc and Not Specified respectively.",./static/img/BOX/Rear_Brakes_Width(mm).png,Width(mm)
98,BOX,Rear_Brakes,"In Rear_Brakess comparison wrt City_Mileage(km_per_litre),Drum has the highest mean whereas, Solid Disc has the lowest mean, max and min InterQuartile Range (IQR) is shown by Ventilated Disc and Not Specified respectively.",./static/img/BOX/Rear_Brakes_City_Mileage(km_per_litre).png,City_Mileage(km_per_litre)
99,BOX,Rear_Brakes,"In Rear_Brakess comparison wrt Ground_Clearance(mm),Not Specified has the highest mean whereas, Drum has the lowest mean, max and min InterQuartile Range (IQR) is shown by Not Specified and Solid Disc respectively.",./static/img/BOX/Rear_Brakes_Ground_Clearance(mm).png,Ground_Clearance(mm)
100,BOX,Rear_Brakes,"In Rear_Brakess comparison wrt Seating_Capacity,Drum has the highest mean whereas, Solid Disc has the lowest mean, max and min InterQuartile Range (IQR) is shown by Drum and Drum respectively.",./static/img/BOX/Rear_Brakes_Seating_Capacity.png,Seating_Capacity
101,BOX,Rear_Brakes,"In Rear_Brakess comparison wrt Wheelbase,Ventilated Disc has the highest mean whereas, Drum has the lowest mean, max and min InterQuartile Range (IQR) is shown by Ventilated Disc and Not Specified respectively.",./static/img/BOX/Rear_Brakes_Wheelbase.png,Wheelbase
102,BOX,Rear_Brakes,"In Rear_Brakess comparison wrt Minimum_Turning_Radius(meter),Drum has the highest mean whereas, Solid Disc has the lowest mean, max and min InterQuartile Range (IQR) is shown by Not Specified and Drum respectively.",./static/img/BOX/Rear_Brakes_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
103,BOX,Rear_Brakes,"In Rear_Brakess comparison wrt Number_of_Airbags,Ventilated Disc has the highest mean whereas, Drum has the lowest mean, max and min InterQuartile Range (IQR) is shown by Solid Disc and Drum respectively.",./static/img/BOX/Rear_Brakes_Number_of_Airbags.png,Number_of_Airbags
104,BOX,Power_Steering,"In Power_Steerings comparison wrt Ex-Showroom_Price(Rs),Electro-Hydraulic has the highest mean whereas, Electric Power, Hydraulic Power has the lowest mean, max and min InterQuartile Range (IQR) is shown by Hydraulic Power and Electric Power, Hydraulic Power respectively.",./static/img/BOX/Power_Steering_Ex-Showroom_Price(Rs).png,Ex-Showroom_Price(Rs)
105,BOX,Power_Steering,"In Power_Steerings comparison wrt Cylinders,Electro-Hydraulic has the highest mean whereas, TRUE has the lowest mean, max and min InterQuartile Range (IQR) is shown by Electro-Hydraulic and Electric Power respectively.",./static/img/BOX/Power_Steering_Cylinders.png,Cylinders
106,BOX,Power_Steering,"In Power_Steerings comparison wrt Height(mm),Not Specified has the highest mean whereas, Electric Power, Hydraulic Power has the lowest mean, max and min InterQuartile Range (IQR) is shown by Hydraulic Power and Electric Power, Hydraulic Power respectively.",./static/img/BOX/Power_Steering_Height(mm).png,Height(mm)
107,BOX,Power_Steering,"In Power_Steerings comparison wrt Length(mm),Electro-Hydraulic has the highest mean whereas, Electric Power, Hydraulic Power has the lowest mean, max and min InterQuartile Range (IQR) is shown by Not Specified and Electric Power, Hydraulic Power respectively.",./static/img/BOX/Power_Steering_Length(mm).png,Length(mm)
